,Drug,Cell
12,19893,TK_10
36,94600,ACHN
256,759878,SK_MEL_2
41,100880,KM12
35,89201,SK_OV_3
247,758612,NCI_ADR_RES
36,94600,UO_31
227,753686,MDA_MB_435
197,683557,OVCAR_8
29,73754,T47D
19,34462,IGROV1
30,77213,MOLT_4
260,765775,OVCAR_5
130,355644,CCRF_CEM
202,698037,NCI_H226
64,138783,HCT_15
95,266046,CAKI_1
202,698037,M14
257,760419,SW_620
190,681643,LOXIMVI
84,184692,HCC_2998
23,56410,CAKI_1
238,757036,EKVX
146,603077,CCRF_CEM
256,759878,RPMI_8226
140,374551,COLO205
147,606170,SF_268
200,697887,SF_268
247,758612,NCI_H226
208,719276,DU_145
74,156303,RXF_393
198,683558,CAKI_1
31,79037,OVCAR_3
219,736493,HOP_62
186,681639,SR
221,737518,SF_268
261,767125,SNB_19
103,287459,OVCAR_3
35,89201,OVCAR_8
157,610456,SR
217,736201,SNB_19
153,606869,MOLT_4
25,63984,SR
231,754771,K_562
8,6396,HL_60
26,71261,HCT_15
92,256927,HCC_2998
134,365798,KM12
243,758230,MDA_MB_231
25,63984,SF_539
28,71851,HOP_92
90,249992,HOP_62
155,606986,LOXIMVI
233,755841,HCT_15
154,606985,MDA_MB_231
51,118994,NCI_H322M
142,526598,SF_268
51,118994,TK_10
185,681638,U251
217,736201,TK_10
70,145668,NCI_H460
88,246131,ACHN
10,9706,NCI_H23
97,268242,LOXIMVI
183,681636,OVCAR_8
109,302991,NCI_H23
166,627168,SF_539
261,767125,SW_620
265,783107,NCI_H226
230,754366,SK_MEL_5
77,167780,SK_MEL_2
264,772992,SR
149,606173,HOP_92
73,154948,NCI_H322M
23,56410,SK_MEL_2
89,249910,SN12C
265,783107,A549
232,755384,NCI_H23
227,753686,A549
115,326231,NCI_H460
178,673596,OVCAR_3
128,354258,HT29
202,698037,MALME_3M
86,224131,T47D
225,747856,SNB_19
233,755841,ACHN
92,256927,CAKI_1
197,683557,HCT_15
224,740645,IGROV1
43,104800,OVCAR_5
194,682298,KM12
87,241240,DU_145
225,747856,UACC_62
1,752,SN12C
241,757348,786_0
13,24559,RPMI_8226
118,337766,COLO205
136,368390,MOLT_4
267,789797,OVCAR_8
101,279836,LOXIMVI
55,125066,SF_295
220,736624,RXF_393
145,603076,ACHN
110,303812,PC_3
268,791785,SNB_19
77,167780,SW_620
106,295501,KM12
0,740,DU_145
84,184692,PC_3
201,697912,BT_549
30,77213,SF_295
264,772992,OVCAR_8
230,754366,NCI_H226
200,697887,MDA_MB_435
134,365798,COLO205
73,154948,CAKI_1
204,706744,T47D
4,1390,BT_549
18,32065,HCC_2998
20,38721,SK_MEL_28
188,681641,SW_620
265,783107,U251
57,127716,SK_MEL_5
86,224131,BT_549
6,3053,LOXIMVI
8,6396,BT_549
0,740,EKVX
249,758671,SNB_19
195,683555,MCF7
250,758706,T47D
76,164011,BT_549
16,26980,SK_OV_3
217,736201,MCF7
44,105014,SK_OV_3
131,357704,SK_MEL_5
69,143095,HS578T
9,8806,HCT_116
18,32065,HOP_92
188,681641,SK_MEL_28
79,172112,HOP_92
108,301739,CAKI_1
97,268242,NCI_ADR_RES
256,759878,SK_MEL_28
69,143095,MCF7
43,104800,CCRF_CEM
20,38721,K_562
251,759155,OVCAR_8
105,295500,HL_60
218,736202,NCI_H322M
41,100880,U251
24,63878,SK_OV_3
104,295499,OVCAR_3
161,613327,HS578T
265,783107,SR
72,153353,BT_549
2,755,HCT_116
217,736201,SN12C
31,79037,SR
95,266046,NCI_H522
257,760419,UACC_62
105,295500,ACHN
58,132313,NCI_H522
9,8806,EKVX
31,79037,HS578T
258,760764,MDA_MB_231
74,156303,SW_620
150,606497,CAKI_1
137,369100,EKVX
153,606869,M14
89,249910,T47D
135,366140,HOP_92
67,141549,U251
54,124463,SF_295
234,755880,SR
153,606869,IGROV1
227,753686,SK_MEL_2
36,94600,RPMI_8226
199,694501,NCI_H322M
192,681645,DU_145
159,610458,UACC_62
220,736624,MDA_MB_435
71,148958,MOLT_4
2,755,SF_295
107,296934,UACC_257
143,603071,SF_539
213,728073,SK_OV_3
199,694501,SK_MEL_2
117,329680,NCI_H322M
72,153353,SK_MEL_28
223,740521,SW_620
144,603074,SN12C
151,606498,CCRF_CEM
239,757087,MCF7
241,757348,DU_145
69,143095,HOP_62
213,728073,SNB_75
115,326231,KM12
259,765396,OVCAR_5
22,51143,CAKI_1
67,141549,PC_3
265,783107,LOXIMVI
243,758230,HOP_92
146,603077,OVCAR_5
200,697887,MOLT_4
198,683558,ACHN
92,256927,IGROV1
244,758251,UACC_257
72,153353,CAKI_1
82,178248,COLO205
217,736201,SF_295
92,256927,SR
210,721517,BT_549
139,374028,SK_OV_3
65,139105,SN12C
32,82151,SNB_75
127,353451,EKVX
172,637651,MDA_MB_435
71,148958,HOP_62
158,610457,OVCAR_5
192,681645,RXF_393
95,266046,OVCAR_3
16,26980,M14
93,256942,OVCAR_8
248,758667,SK_MEL_2
49,111533,U251
158,610457,UACC_257
267,789797,RXF_393
143,603071,OVCAR_3
49,111533,UO_31
182,681635,CAKI_1
162,616348,HOP_92
61,134679,K_562
223,740521,HS578T
1,752,RXF_393
93,256942,HCC_2998
158,610457,IGROV1
188,681641,COLO205
247,758612,CCRF_CEM
154,606985,SF_539
100,276382,NCI_H322M
212,725776,SF_539
234,755880,HCC_2998
205,708298,HCT_116
261,767125,RPMI_8226
132,363812,HCT_15
1,752,HS578T
259,765396,MOLT_4
257,760419,T47D
184,681637,SF_268
86,224131,HL_60
167,627505,HS578T
91,256439,CCRF_CEM
128,354258,NCI_H460
223,740521,OVCAR_4
253,759263,IGROV1
47,107392,KM12
69,143095,DU_145
68,143020,NCI_H226
88,246131,COLO205
124,351710,A549
138,369395,SW_620
241,757348,NCI_H522
182,681635,MALME_3M
230,754366,LOXIMVI
174,639174,SF_268
108,301739,U251
241,757348,RXF_393
152,606499,MOLT_4
101,279836,ACHN
12,19893,RPMI_8226
194,682298,SK_MEL_2
105,295500,K_562
24,63878,OVCAR_3
139,374028,COLO205
26,71261,NCI_H460
23,56410,786_0
138,369395,A549
266,784722,RPMI_8226
133,364830,SW_620
166,627168,NCI_H322M
125,352122,SK_MEL_5
63,135758,SK_MEL_5
249,758671,A498
163,618939,NCI_H23
249,758671,OVCAR_3
102,281612,TK_10
192,681645,MALME_3M
246,758423,K_562
74,156303,K_562
37,95382,CAKI_1
240,757098,TK_10
56,126771,SF_539
103,287459,SK_MEL_2
6,3053,HS578T
28,71851,PC_3
92,256927,EKVX
42,102627,SNB_19
177,656889,HT29
98,269148,COLO205
242,757804,MDA_MB_435
90,249992,786_0
111,308847,NCI_H23
177,656889,ACHN
263,768593,NCI_H23
122,348948,U251
108,301739,NCI_H460
198,683558,MDA_MB_435
35,89201,SNB_19
161,613327,HL_60
102,281612,BT_549
225,747856,SK_MEL_2
55,125066,LOXIMVI
98,269148,CAKI_1
148,606172,T47D
231,754771,SNB_19
194,682298,OVCAR_5
266,784722,ACHN
219,736493,OVCAR_3
198,683558,HCC_2998
199,694501,MOLT_4
266,784722,HCT_15
137,369100,COLO205
0,740,OVCAR_4
67,141549,SK_MEL_2
53,123127,HT29
200,697887,SK_OV_3
63,135758,MDA_MB_231
192,681645,HT29
45,105132,SN12C
201,697912,COLO205
58,132313,UO_31
38,95441,SF_268
49,111533,SNB_75
169,633782,CAKI_1
58,132313,NCI_H460
27,71795,ACHN
188,681641,KM12
10,9706,EKVX
140,374551,UO_31
247,758612,LOXIMVI
158,610457,UO_31
223,740521,SK_MEL_28
164,619232,PC_3
35,89201,HT29
238,757036,HCT_116
2,755,MOLT_4
214,734294,UACC_257
1,752,786_0
105,295500,OVCAR_8
137,369100,KM12
215,735037,MDA_MB_435
222,740268,HT29
174,639174,MALME_3M
35,89201,NCI_H23
176,643833,SK_OV_3
115,326231,HS578T
35,89201,HCT_116
139,374028,U251
65,139105,MOLT_4
189,681642,UO_31
195,683555,DU_145
132,363812,SNB_75
56,126771,MOLT_4
175,639186,SNB_19
106,295501,RXF_393
57,127716,UACC_62
144,603074,HOP_92
61,134679,EKVX
138,369395,RXF_393
114,320846,HOP_62
175,639186,SN12C
224,740645,MOLT_4
243,758230,U251
76,164011,SK_MEL_5
69,143095,MALME_3M
150,606497,HOP_92
129,354646,MDA_MB_435
238,757036,NCI_H226
120,343499,SN12C
82,178248,RPMI_8226
0,740,SR
166,627168,RPMI_8226
0,740,NCI_H226
69,143095,HOP_92
186,681639,SNB_19
204,706744,OVCAR_3
13,24559,SF_295
139,374028,SR
204,706744,786_0
62,134727,EKVX
190,681643,OVCAR_8
252,759195,EKVX
200,697887,MDA_MB_231
42,102627,SNB_75
73,154948,DU_145
188,681641,MCF7
92,256927,HT29
156,609699,MOLT_4
158,610457,CAKI_1
137,369100,MDA_MB_435
265,783107,SF_295
186,681639,A549
77,167780,NCI_H460
15,26271,EKVX
62,134727,RXF_393
157,610456,HOP_62
213,728073,BT_549
164,619232,HCT_116
0,740,MDA_MB_435
34,85998,NCI_H23
258,760764,SK_MEL_5
119,338947,SK_MEL_28
7,3088,PC_3
84,184692,SNB_19
120,343499,UACC_257
229,754365,OVCAR_3
125,352122,UACC_257
166,627168,NCI_H23
195,683555,NCI_H522
201,697912,SK_MEL_2
8,6396,CCRF_CEM
43,104800,MALME_3M
15,26271,K_562
115,326231,U251
224,740645,OVCAR_4
236,756660,IGROV1
139,374028,SN12C
98,269148,OVCAR_4
200,697887,786_0
140,374551,LOXIMVI
88,246131,OVCAR_5
159,610458,SNB_19
66,141540,SN12C
93,256942,SK_MEL_28
135,366140,A498
29,73754,UACC_257
118,337766,HCT_15
34,85998,UACC_62
231,754771,IGROV1
153,606869,TK_10
24,63878,HCT_15
114,320846,SW_620
77,167780,SK_MEL_28
207,710270,MDA_N
245,758255,SF_268
21,45388,HS578T
84,184692,K_562
214,734294,MOLT_4
216,736198,K_562
215,735037,RPMI_8226
195,683555,A549
75,163501,SNB_75
205,708298,UO_31
253,759263,KM12
160,610459,OVCAR_5
136,368390,SK_MEL_5
33,83142,OVCAR_5
78,169780,OVCAR_4
138,369395,MDA_N
185,681638,HS578T
158,610457,NCI_H226
79,172112,SF_295
101,279836,EKVX
18,32065,SF_268
184,681637,OVCAR_3
241,757348,ACHN
112,312887,A549
142,526598,SR
165,623017,MOLT_4
245,758255,786_0
4,1390,SF_295
268,791785,T47D
261,767125,HCT_116
3,762,NCI_H23
135,366140,LOXIMVI
142,526598,MDA_N
191,681644,SK_OV_3
231,754771,MALME_3M
19,34462,HS578T
130,355644,ACHN
55,125066,HOP_92
115,326231,HOP_92
190,681643,PC_3
45,105132,SF_539
25,63984,MDA_MB_231
237,756717,SK_OV_3
91,256439,RXF_393
20,38721,HCT_15
118,337766,SNB_75
263,768593,M14
167,627505,786_0
233,755841,SW_620
188,681641,MDA_MB_435
23,56410,BT_549
163,618939,SK_MEL_5
240,757098,HCT_116
231,754771,A549
76,164011,NCI_H23
241,757348,MDA_MB_435
225,747856,LOXIMVI
149,606173,MOLT_4
0,740,OVCAR_3
88,246131,OVCAR_4
256,759878,MDA_MB_435
103,287459,NCI_H522
184,681637,SF_539
13,24559,HOP_92
130,355644,HS578T
28,71851,HT29
90,249992,MOLT_4
192,681645,SF_295
29,73754,UACC_62
165,623017,SF_539
90,249992,ACHN
11,14229,MALME_3M
229,754365,KM12
185,681638,TK_10
150,606497,MDA_MB_231
238,757036,SF_539
93,256942,HT29
225,747856,786_0
247,758612,MOLT_4
50,118218,SF_268
122,348948,NCI_ADR_RES
66,141540,SK_OV_3
213,728073,HOP_62
252,759195,BT_549
208,719276,A498
16,26980,HCT_116
126,352299,U251
195,683555,TK_10
86,224131,NCI_H23
135,366140,K_562
113,314622,NCI_H23
88,246131,MALME_3M
0,740,COLO205
173,638066,KM12
130,355644,IGROV1
32,82151,OVCAR_5
234,755880,SK_MEL_2
55,125066,MDA_MB_231
221,737518,EKVX
236,756660,SK_OV_3
227,753686,HCT_15
246,758423,NCI_H23
169,633782,UACC_257
39,95466,SNB_19
175,639186,HT29
62,134727,SN12C
33,83142,IGROV1
39,95466,SF_295
183,681636,HCT_116
145,603076,UO_31
92,256927,A549
17,27640,MDA_MB_435
76,164011,M14
118,337766,SK_MEL_2
36,94600,OVCAR_8
266,784722,HOP_62
221,737518,HT29
261,767125,MCF7
8,6396,DU_145
184,681637,SF_295
94,264137,SK_MEL_28
14,25154,NCI_H226
144,603074,MOLT_4
6,3053,PC_3
161,613327,NCI_H460
37,95382,K_562
80,174121,SNB_19
239,757087,HT29
216,736198,SK_MEL_28
23,56410,EKVX
255,759857,RPMI_8226
21,45388,PC_3
81,176323,OVCAR_8
102,281612,HT29
177,656889,NCI_H460
210,721517,TK_10
104,295499,RXF_393
266,784722,MALME_3M
73,154948,OVCAR_4
181,681634,HOP_62
226,752840,NCI_ADR_RES
214,734294,HT29
215,735037,SK_MEL_5
80,174121,A549
247,758612,U251
203,702294,SW_620
2,755,HL_60
257,760419,SF_539
265,783107,HCT_15
235,755985,SK_MEL_5
86,224131,MDA_MB_231
109,302991,RXF_393
170,634724,LOXIMVI
265,783107,OVCAR_3
190,681643,HT29
242,757804,SNB_19
35,89201,K_562
171,637037,SW_620
224,740645,A549
177,656889,SK_MEL_28
75,163501,SF_268
170,634724,BT_549
12,19893,HL_60
258,760764,SNB_19
33,83142,SR
166,627168,M14
40,95678,IGROV1
253,759263,M14
141,409962,MDA_MB_231
15,26271,IGROV1
132,363812,UACC_257
142,526598,HS578T
251,759155,SW_620
42,102627,PC_3
120,343499,A549
147,606170,A498
253,759263,SN12C
85,218321,CAKI_1
100,276382,SNB_75
227,753686,SK_MEL_5
136,368390,SK_MEL_2
83,182986,EKVX
193,681646,HCT_15
228,754230,IGROV1
131,357704,MOLT_4
45,105132,HOP_92
132,363812,HL_60
237,756717,TK_10
257,760419,786_0
110,303812,MDA_N
204,706744,HS578T
258,760764,NCI_H522
223,740521,NCI_H322M
29,73754,HOP_62
245,758255,U251
134,365798,SW_620
179,681632,SK_MEL_2
26,71261,NCI_H23
123,349174,MOLT_4
174,639174,SR
25,63984,SW_620
54,124463,K_562
188,681641,NCI_H460
117,329680,HT29
17,27640,UACC_257
138,369395,U251
113,314622,HT29
33,83142,MDA_MB_231
139,374028,OVCAR_3
174,639174,MDA_N
175,639186,SK_MEL_28
3,762,K_562
173,638066,A498
3,762,RXF_393
22,51143,KM12
171,637037,NCI_H322M
221,737518,CCRF_CEM
91,256439,RPMI_8226
213,728073,HCT_15
167,627505,MDA_N
62,134727,NCI_H226
14,25154,CCRF_CEM
246,758423,NCI_H322M
130,355644,PC_3
2,755,IGROV1
143,603071,MOLT_4
93,256942,IGROV1
151,606498,M14
163,618939,SW_620
35,89201,MDA_MB_435
91,256439,HOP_92
258,760764,HOP_92
76,164011,SF_268
86,224131,SNB_75
201,697912,MDA_N
193,681646,SF_268
116,328410,NCI_H460
16,26980,EKVX
140,374551,RPMI_8226
54,124463,MDA_MB_231
63,135758,MDA_N
254,759614,786_0
107,296934,OVCAR_5
145,603076,NCI_H23
81,176323,SNB_19
253,759263,DU_145
215,735037,OVCAR_8
234,755880,SNB_19
43,104800,COLO205
6,3053,U251
213,728073,MCF7
188,681641,NCI_ADR_RES
85,218321,SK_MEL_28
146,603077,MALME_3M
221,737518,SK_MEL_28
143,603071,IGROV1
178,673596,HT29
63,135758,MALME_3M
197,683557,786_0
55,125066,MOLT_4
104,295499,M14
4,1390,M14
109,302991,K_562
64,138783,PC_3
80,174121,MDA_MB_231
123,349174,SK_MEL_2
180,681633,SF_268
253,759263,TK_10
123,349174,U251
79,172112,EKVX
1,752,OVCAR_4
68,143020,HCT_116
216,736198,MDA_MB_435
161,613327,NCI_H226
34,85998,OVCAR_4
79,172112,IGROV1
96,267469,PC_3
237,756717,BT_549
263,768593,MCF7
192,681645,SK_MEL_28
130,355644,UACC_62
157,610456,MCF7
1,752,SR
74,156303,UACC_62
99,271674,SNB_75
262,768112,IGROV1
138,369395,MCF7
237,756717,T47D
123,349174,OVCAR_5
220,736624,TK_10
240,757098,RPMI_8226
43,104800,MDA_MB_231
194,682298,HOP_92
117,329680,K_562
220,736624,786_0
122,348948,MDA_N
246,758423,T47D
74,156303,786_0
265,783107,HOP_62
38,95441,M14
187,681640,786_0
131,357704,SF_539
129,354646,ACHN
49,111533,IGROV1
27,71795,M14
53,123127,NCI_H226
236,756660,NCI_H322M
55,125066,HCC_2998
263,768593,MDA_MB_435
118,337766,SF_268
88,246131,T47D
262,768112,UACC_62
57,127716,NCI_H322M
157,610456,LOXIMVI
102,281612,UACC_257
242,757804,BT_549
233,755841,HS578T
219,736493,NCI_H23
139,374028,LOXIMVI
181,681634,SF_539
1,752,EKVX
171,637037,A498
213,728073,RXF_393
47,107392,MCF7
75,163501,HT29
42,102627,TK_10
95,266046,SK_MEL_2
68,143020,OVCAR_8
186,681639,KM12
166,627168,COLO205
105,295500,HT29
97,268242,HOP_62
242,757804,RXF_393
138,369395,786_0
205,708298,DU_145
201,697912,SK_MEL_28
83,182986,LOXIMVI
26,71261,KM12
26,71261,HCC_2998
220,736624,OVCAR_5
146,603077,UACC_257
105,295500,MOLT_4
118,337766,HT29
241,757348,NCI_H23
195,683555,M14
213,728073,SF_268
130,355644,HCC_2998
3,762,NCI_H226
129,354646,OVCAR_8
52,122819,NCI_H23
11,14229,T47D
158,610457,SK_OV_3
53,123127,MALME_3M
97,268242,EKVX
44,105014,COLO205
52,122819,COLO205
87,241240,NCI_ADR_RES
27,71795,DU_145
243,758230,RPMI_8226
151,606498,NCI_H522
211,724998,OVCAR_8
69,143095,SW_620
241,757348,OVCAR_8
21,45388,SK_OV_3
61,134679,SF_539
157,610456,NCI_ADR_RES
63,135758,SNB_19
131,357704,SK_MEL_2
173,638066,HOP_92
174,639174,SF_539
17,27640,CCRF_CEM
161,613327,PC_3
13,24559,UACC_62
261,767125,CCRF_CEM
31,79037,M14
136,368390,A498
268,791785,HOP_62
78,169780,MCF7
81,176323,SNB_75
224,740645,LOXIMVI
97,268242,MDA_MB_435
47,107392,MDA_N
186,681639,SW_620
216,736198,SN12C
147,606170,OVCAR_3
152,606499,HOP_92
220,736624,SK_OV_3
93,256942,SF_295
158,610457,RPMI_8226
100,276382,MDA_MB_435
223,740521,A549
228,754230,NCI_ADR_RES
157,610456,TK_10
149,606173,EKVX
236,756660,OVCAR_3
246,758423,MOLT_4
142,526598,COLO205
18,32065,NCI_H322M
175,639186,DU_145
104,295499,SK_MEL_28
68,143020,SK_OV_3
160,610459,SF_295
256,759878,UO_31
97,268242,UACC_257
5,1895,OVCAR_5
0,740,HOP_92
150,606497,SK_OV_3
28,71851,M14
254,759614,SK_OV_3
224,740645,786_0
78,169780,NCI_H322M
149,606173,SF_295
30,77213,HCC_2998
152,606499,SNB_75
33,83142,NCI_H522
21,45388,SNB_19
172,637651,COLO205
231,754771,TK_10
183,681636,HCC_2998
133,364830,MCF7
180,681633,T47D
86,224131,SF_539
0,740,PC_3
27,71795,CAKI_1
38,95441,A549
127,353451,SNB_19
122,348948,RXF_393
15,26271,NCI_H522
154,606985,SK_OV_3
218,736202,A549
10,9706,TK_10
202,698037,SNB_19
187,681640,HT29
23,56410,SF_268
157,610456,SK_MEL_5
267,789797,HS578T
150,606497,EKVX
97,268242,BT_549
98,269148,A498
234,755880,NCI_H460
245,758255,CCRF_CEM
251,759155,NCI_H460
100,276382,ACHN
98,269148,HT29
141,409962,OVCAR_8
140,374551,U251
95,266046,NCI_H226
146,603077,HOP_62
136,368390,HOP_62
35,89201,SF_539
263,768593,NCI_H522
140,374551,HS578T
262,768112,HOP_92
106,295501,OVCAR_4
153,606869,HCC_2998
19,34462,RPMI_8226
160,610459,MDA_MB_435
57,127716,SNB_19
98,269148,HCC_2998
39,95466,NCI_H522
250,758706,OVCAR_4
183,681636,A498
197,683557,SF_295
261,767125,UACC_257
77,167780,MDA_N
179,681632,U251
34,85998,CAKI_1
4,1390,SK_MEL_5
133,364830,KM12
227,753686,MALME_3M
201,697912,MDA_MB_231
125,352122,K_562
97,268242,A549
124,351710,HOP_92
46,107124,COLO205
202,698037,HT29
267,789797,786_0
51,118994,K_562
52,122819,T47D
65,139105,KM12
155,606986,SNB_75
221,737518,OVCAR_5
246,758423,HCT_116
238,757036,MALME_3M
251,759155,HCT_15
3,762,T47D
188,681641,786_0
235,755985,NCI_H460
149,606173,UO_31
38,95441,BT_549
122,348948,K_562
20,38721,SNB_75
98,269148,PC_3
132,363812,TK_10
160,610459,CCRF_CEM
72,153353,A498
96,267469,BT_549
43,104800,HT29
9,8806,SK_MEL_2
228,754230,SF_539
61,134679,HOP_62
48,109724,NCI_H460
222,740268,SK_OV_3
139,374028,SNB_75
26,71261,OVCAR_4
138,369395,T47D
34,85998,MALME_3M
17,27640,DU_145
260,765775,UO_31
18,32065,UACC_62
196,683556,OVCAR_3
77,167780,PC_3
79,172112,CAKI_1
221,737518,OVCAR_8
54,124463,T47D
114,320846,SK_MEL_5
203,702294,ACHN
22,51143,SK_MEL_5
128,354258,HOP_92
143,603071,CAKI_1
178,673596,K_562
94,264137,SK_OV_3
54,124463,HOP_92
64,138783,LOXIMVI
13,24559,NCI_H322M
266,784722,786_0
114,320846,NCI_H226
32,82151,T47D
190,681643,DU_145
209,719627,SR
185,681638,OVCAR_5
107,296934,SK_MEL_28
229,754365,NCI_H460
254,759614,ACHN
233,755841,PC_3
86,224131,RXF_393
179,681632,HOP_62
199,694501,SNB_75
19,34462,MDA_MB_231
154,606985,UACC_257
251,759155,HCT_116
74,156303,MCF7
171,637037,786_0
174,639174,SK_OV_3
47,107392,OVCAR_5
22,51143,COLO205
260,765775,A498
117,329680,HS578T
266,784722,NCI_H460
182,681635,NCI_H23
222,740268,OVCAR_8
242,757804,OVCAR_8
174,639174,OVCAR_3
162,616348,HCT_15
95,266046,M14
32,82151,SNB_19
117,329680,A549
84,184692,NCI_H460
152,606499,SN12C
4,1390,MOLT_4
217,736201,NCI_H23
182,681635,OVCAR_5
210,721517,OVCAR_3
141,409962,786_0
169,633782,SNB_75
247,758612,SW_620
148,606172,MDA_MB_435
239,757087,NCI_H226
205,708298,BT_549
26,71261,CAKI_1
127,353451,SF_295
197,683557,MALME_3M
259,765396,SF_295
136,368390,SR
210,721517,HCT_15
54,124463,A549
6,3053,OVCAR_5
97,268242,HT29
56,126771,NCI_H322M
22,51143,SK_MEL_2
217,736201,PC_3
198,683558,BT_549
50,118218,CAKI_1
142,526598,HT29
9,8806,HL_60
19,34462,CAKI_1
19,34462,NCI_H23
182,681635,RPMI_8226
41,100880,OVCAR_4
217,736201,OVCAR_8
12,19893,OVCAR_5
111,308847,HS578T
68,143020,HT29
67,141549,SF_268
133,364830,RXF_393
68,143020,MDA_MB_231
256,759878,SF_295
32,82151,SR
56,126771,SNB_19
206,709237,NCI_H460
268,791785,SW_620
165,623017,KM12
156,609699,MALME_3M
187,681640,HCT_15
60,134033,T47D
70,145668,SK_MEL_28
172,637651,A498
90,249992,RXF_393
43,104800,MDA_MB_435
254,759614,IGROV1
195,683555,HT29
177,656889,MDA_N
96,267469,MCF7
259,765396,SF_539
118,337766,IGROV1
10,9706,OVCAR_8
228,754230,OVCAR_5
2,755,SK_MEL_28
49,111533,PC_3
139,374028,IGROV1
258,760764,UO_31
7,3088,SN12C
237,756717,HOP_62
51,118994,786_0
199,694501,DU_145
126,352299,COLO205
32,82151,OVCAR_4
108,301739,UACC_62
168,629971,RPMI_8226
77,167780,SNB_75
122,348948,OVCAR_4
194,682298,NCI_H522
168,629971,HS578T
18,32065,NCI_H460
0,740,SK_MEL_5
44,105014,NCI_H23
98,269148,CCRF_CEM
209,719627,SK_OV_3
183,681636,SN12C
184,681637,PC_3
137,369100,MCF7
223,740521,OVCAR_8
221,737518,ACHN
49,111533,KM12
22,51143,SK_MEL_28
250,758706,M14
135,366140,SNB_75
232,755384,A498
262,768112,T47D
44,105014,NCI_H522
94,264137,TK_10
123,349174,K_562
200,697887,EKVX
114,320846,KM12
102,281612,SN12C
87,241240,EKVX
216,736198,HOP_62
170,634724,T47D
163,618939,MALME_3M
80,174121,SF_268
249,758671,MOLT_4
159,610458,NCI_H226
184,681637,MDA_N
43,104800,M14
41,100880,HOP_92
125,352122,MALME_3M
28,71851,HCT_116
216,736198,SK_MEL_5
201,697912,MCF7
266,784722,SN12C
21,45388,UO_31
22,51143,MALME_3M
167,627505,SW_620
113,314622,MALME_3M
193,681646,NCI_ADR_RES
233,755841,SF_539
62,134727,HL_60
229,754365,CCRF_CEM
231,754771,UACC_257
153,606869,RPMI_8226
21,45388,HOP_92
264,772992,RXF_393
0,740,LOXIMVI
35,89201,OVCAR_4
152,606499,NCI_H522
58,132313,SF_268
110,303812,HCC_2998
29,73754,HCT_116
96,267469,NCI_H460
194,682298,NCI_H226
74,156303,DU_145
30,77213,ACHN
134,365798,SK_MEL_28
261,767125,SK_MEL_28
260,765775,NCI_H322M
111,308847,T47D
201,697912,EKVX
139,374028,MDA_MB_435
96,267469,CCRF_CEM
86,224131,UO_31
146,603077,SF_539
258,760764,EKVX
25,63984,TK_10
5,1895,SK_MEL_28
257,760419,A549
183,681636,OVCAR_4
189,681642,KM12
167,627505,HOP_62
115,326231,RPMI_8226
111,308847,DU_145
63,135758,OVCAR_3
36,94600,NCI_H23
127,353451,RXF_393
170,634724,OVCAR_5
83,182986,SW_620
186,681639,OVCAR_3
39,95466,MDA_N
60,134033,HT29
256,759878,RXF_393
131,357704,NCI_H226
37,95382,UO_31
42,102627,UACC_257
189,681642,PC_3
47,107392,HCC_2998
242,757804,HCC_2998
256,759878,HOP_62
230,754366,SF_295
205,708298,NCI_H226
120,343499,HL_60
143,603071,NCI_H322M
247,758612,HCC_2998
44,105014,SF_295
78,169780,SF_539
6,3053,HT29
10,9706,NCI_H322M
195,683555,HCT_15
57,127716,SN12C
100,276382,OVCAR_5
164,619232,SK_OV_3
257,760419,SF_295
165,623017,U251
120,343499,SF_539
110,303812,SW_620
160,610459,OVCAR_3
132,363812,MALME_3M
105,295500,HCT_116
200,697887,NCI_H322M
156,609699,MCF7
32,82151,NCI_H522
247,758612,M14
158,610457,NCI_H322M
189,681642,NCI_H23
191,681644,T47D
27,71795,SF_539
9,8806,HS578T
263,768593,MALME_3M
176,643833,BT_549
27,71795,HCT_116
84,184692,EKVX
134,365798,SK_MEL_5
263,768593,HS578T
192,681645,BT_549
179,681632,SN12C
11,14229,OVCAR_3
211,724998,NCI_ADR_RES
1,752,MDA_MB_435
163,618939,HOP_92
25,63984,UACC_62
82,178248,786_0
49,111533,OVCAR_4
72,153353,MDA_MB_231
217,736201,A498
223,740521,OVCAR_3
71,148958,KM12
134,365798,RPMI_8226
167,627505,SR
266,784722,K_562
63,135758,HCC_2998
0,740,SNB_19
144,603074,OVCAR_3
104,295499,HT29
90,249992,OVCAR_8
98,269148,MDA_MB_231
199,694501,786_0
56,126771,PC_3
180,681633,NCI_H460
186,681639,COLO205
220,736624,SW_620
41,100880,MALME_3M
167,627505,NCI_H23
229,754365,HCT_116
226,752840,ACHN
86,224131,HCT_116
65,139105,MDA_MB_231
157,610456,UO_31
180,681633,PC_3
112,312887,MDA_MB_231
203,702294,RPMI_8226
34,85998,UO_31
233,755841,SK_MEL_2
29,73754,SN12C
80,174121,SW_620
164,619232,OVCAR_8
140,374551,HOP_62
186,681639,UACC_62
136,368390,NCI_H322M
105,295500,M14
195,683555,SK_OV_3
1,752,IGROV1
63,135758,A498
115,326231,NCI_H322M
206,709237,SF_295
35,89201,SK_MEL_5
120,343499,MOLT_4
141,409962,SN12C
55,125066,MCF7
8,6396,NCI_H322M
37,95382,LOXIMVI
254,759614,SF_268
153,606869,NCI_H23
193,681646,PC_3
